c_id,subject,type,text,p.instruction_explicitness_of_instruction,p.instruction_obstacle_complex_np,p.instruction_obstacle_negation,p.instruction_obstacle_passive,p.item_1_answer_verbatim_explanatory_text,p.item_1_obstacle_complex_np,p.item_1_obstacle_negation,p.item_1_obstacle_passive,p.item_1_sentence_length,p.item_2_answer_verbatim_explanatory_text,p.item_2_obstacle_complex_np,p.item_2_obstacle_negation,p.item_2_obstacle_passive,p.item_2_sentence_length,p.item_3_answer_verbatim_explanatory_text,p.item_3_obstacle_complex_np,p.item_3_obstacle_negation,p.item_3_obstacle_passive,p.item_3_sentence_length,p.item_4_answer_verbatim_explanatory_text,p.item_4_obstacle_complex_np,p.item_4_obstacle_negation,p.item_4_obstacle_passive,p.item_4_sentence_length,p.item_5_answer_verbatim_explanatory_text,p.item_5_obstacle_complex_np,p.item_5_obstacle_negation,p.item_5_obstacle_passive,p.item_5_sentence_length,p.item_6_answer_verbatim_explanatory_text,p.item_6_obstacle_complex_np,p.item_6_obstacle_negation,p.item_6_obstacle_passive,p.item_6_sentence_length,p.item_7_answer_verbatim_explanatory_text,p.item_7_obstacle_complex_np,p.item_7_obstacle_negation,p.item_7_obstacle_passive,p.item_7_sentence_length,p.item_8_answer_verbatim_explanatory_text,p.item_8_obstacle_complex_np,p.item_8_obstacle_negation,p.item_8_obstacle_passive,p.item_8_sentence_length,p.mathematical_requirement_level,p.root_text_contains_irrelevant_information,p.root_text_obstacle_complex_np,p.root_text_obstacle_negation,p.root_text_obstacle_passive,p.root_text_reference_explanatory_text,p.taxanomy_level,p.variation,answers,p.instruction_number_of_sentences
74-4-1,6,mapping, <start-option> Minimalprinzip <start-option> Maximalprinzip <end-option> Mit festgelegten Mitteln maximalen Nutzen erzielen <end-option> Mit maximalen Mitteln maximalen Nutzen erzielen <end-option> Mit minimalen Mitteln maximalen Nutzen erzielen <end-option> Mit minimalen Mitteln festgelegtes Ziel erreichen ,,,,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,,,,,,,,,,,0 (Kein Bezug),,,,,,Stufe 1,leicht,Minimalprinzip -> Mit minimalen Mitteln festgelegtes Ziel erreichen; Maximalprinzip -> Mit festgelegten Mitteln maximalen Nutzen erzielen,0
74-3-1,6,mapping, <start-option> Minimalprinzip <start-option> Maximalprinzip <end-option> Mit festgelegten Mitteln maximalen Nutzen erzielen <end-option> Mit maximalen Mitteln maximalen Nutzen erzielen <end-option> Mit minimalen Mitteln maximalen Nutzen erzielen <end-option> Mit minimalen Mitteln festgelegtes Ziel erreichen <end-option> Mit festgelegten Mitteln festgelegtes Ziel erreichen <end-option> Mit minimalen Mitteln minimalen Nutzen erreichen ,,,,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,0 (Kein Bezug),,,,,,Stufe 1,Stammaufgabe,Minimalprinzip -> Mit minimalen Mitteln festgelegtes Ziel erreichen; Maximalprinzip -> Mit festgelegten Mitteln maximalen Nutzen erzielen,0
73-3-2,6,multiple-choice,"Welchem der folgenden Fälle liegt das Minimalprinzip zugrunde? Wähle aus! <option> Ein Industrieunternehmen möchte aus 100 Kilo Pappe möglichst viele Strohhalme herstellen. <option> Um eine Million Strohhalme herzustellen, will ein Industrieunternehmen möglichst wenig Pappe verbrauchen. <option> Ein Fußballverein hat diesen Sommer ein Budget von 15 Millionen Euro für die Verpflichtung von neuen Spielern und möchte seine Mannschaft bestmöglich aufstellen. <option> Ein Fußballverein möchte einen bestimmten Spieler verpflichten und an den bisherigen Verein so wenig wie möglich zu zahlen <option> Eine Wäscherei nutzt für weiße Laken immer extra viel Waschmittel, damit sie auf jeden Fall sauber werden. ",Implizit,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,,,,,,,,,,,,,,,,,0 (Kein Bezug),Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Implizit,Stufe 2,schwer,"Um eine Million Strohhalme herzustellen, will ein Industrieunternehmen möglichst wenig Pappe verbrauchen.; Ein Fußballverein möchte einen bestimmten Spieler verpflichten und an den bisherigen Verein so wenig wie möglich zu zahlen",1
73-3-1,6,multiple-choice,"Welchem der folgenden Fälle liegt das Minimalprinzip zugrunde? Wähle aus! <option> Ein Industrieunternehmen möchte aus 100 Kilo Pappe möglichst viele Strohhalme herstellen. <option> Um eine Million Strohhalme herzustellen, will ein Industrieunternehmen möglichst wenig Pappe verbrauchen. <option> Ein Fußballverein hat diesen Sommer ein Budget von 15 Millionen Euro für die Verpflichtung von neuen Spielern und möchte seine Mannschaft bestmöglich aufstellen. <option> Ein Fußballverein möchte einen bestimmten Spieler verpflichten und, an den bisherigen Verein so wenig wie möglich zu zahlen <option> Eine Wäscherei nutzt für weiße Laken immer extra viel Waschmittel, damit sie auf jeden Fall sauber werden. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stufe 2,schwer,"Um eine Million Strohhalme herzustellen, will ein Industrieunternehmen möglichst wenig Pappe verbrauchen.; Ein Fußballverein möchte einen bestimmten Spieler verpflichten und, an den bisherigen Verein so wenig wie möglich zu zahlen",1
68-2-2,6,single-choice,"Wähle die richtige Antwortmöglichkeit aus. Wenn man versucht, mit den gegebenen Mitteln größtmöglichen Nutzen zu erzielen, handelt man nach dem... <option> Maximalprinzip <option> Minimalprinzip <option> Prinzip der Opportunitätskosten ",Explizit,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,,,,,,,,,,,,,,,,0 (Kein Bezug),Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Explizit,Stufe 1,leicht,Maximalprinzip,2
73-1-2,6,multiple-choice,"Welchem der folgenden Fälle liegt das Minimalprinzip zugrunde? Wähle aus! <option> Ein Industrieunternehmen möchte aus 100 Kilo Pappe möglichst viele Strohhalme herstellen. <option> Um eine Million Strohhalme herzustellen, will ein Industrieunternehmen möglichst wenig Pappe verbrauchen. <option> Ein Fußballverein hat diesen Sommer ein Budget von 15 Millionen Euro für die Verpflichtung von neuen Spielern und möchte seine Mannschaft bestmöglich aufstellen. <option> Ein Fußballverein möchte einen bestimmten Spieler verpflichten und, an den bisherigen Verein so wenig wie möglich zu zahlen ",Implizit,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,,,,,,,,,,,0 (Kein Bezug),Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Implizit,Stufe 2,Stammaufgabe,"Um eine Million Strohhalme herzustellen, will ein Industrieunternehmen möglichst wenig Pappe verbrauchen.; Ein Fußballverein möchte einen bestimmten Spieler verpflichten und, an den bisherigen Verein so wenig wie möglich zu zahlen",1
72-3-1,6,multiple-choice,"Luisa hat zum Geburtstag 50 Euro bekommen. Sie überlegt, wie sie das Geld bestmöglich einsetzen kann. Wenn Luisa versucht, mit dem Geld den größten Nutzen zu erzielen, handelt sie… <option> egoistisch. <option> nach dem Maximalprinzip. <option> nach dem Minimalprinzip. <option> weder nach dem Maximalprinzip noch nach dem Minimalprinzip. <option> nach dem Opportunitätsprinzip. <option> nach dem Knappheitsprinzip. <option> in einer Weise, die ein Bedürfnis beziehungsweise möglichst viele Bedürfnisse befriedigt. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stufe 2,schwer,"nach dem Maximalprinzip.; in einer Weise, die ein Bedürfnis beziehungsweise möglichst viele Bedürfnisse befriedigt.",3
68-1-2,6,multiple-choice,"Wenn man versucht, mit den gegebenen Mitteln das bestmögliche Ergebnis zu erreichen, handelt man nach dem... <option> Maximalprinzip <option> Minimalprinzip <option> Opportunitätsprinzip <option> Knappheitsprinzip ",,,,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,,,,,,,,,,,0 (Kein Bezug),Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Explizit,Stufe 1,Stammaufgabe,Maximalprinzip,1
67-1-3,6,multiple-choice,"Wenn man versucht, ein bestimmtes Ziel mit möglichst geringem Einsatz zu erreichen, handelt man nach dem… <option> Maximalprinzip <option> Minimalprinzip <option> Opportunitätsprinzip <option> Knappheitsprinzip ",,,,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,,,,,,,,,,,0 (Kein Bezug),Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Explizit,Stufe 1,Stammaufgabe,Minimalprinzip,1
67-3-3,6,multiple-choice,"Wenn Wirtschaftsakteure ein bestimmtes Ziel mit möglichst geringem Aufwand erreichen, spricht man von dem … <option> Maximalprinzip <option> Minimalprinzip <option> Opportunitätsprinzip <option> Knappheitsprinzip <option> Marktprinzip ",,,,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,,,,,,0 (Kein Bezug),Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Implizit,Stufe 1,schwer,Minimalprinzip,1
67-2-2,6,single-choice,"Wähle die richtige Antwortmöglichkeit aus. Wenn man versucht, ein bestimmtes Ziel mit einem möglichst geringen Einsatz an Mitteln zu erreichen, handelt man nach dem… <option> Maximalprinzip <option> Minimalprinzip <option> Knappheitsprinzip ",Explizit,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,,,,,,,,,,,,,,,,0 (Kein Bezug),Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,Implizit,Stufe 1,leicht,Minimalprinzip,2
98-2-2,7,true-false,"Erkan steht nach seinem Abitur vor der Wahl: Soll er studieren oder erstmal ein Jahr in Australien reisen und arbeiten? Angenommen, er entscheidet sich für das Studium. Entscheide, ob es sich bei den folgenden Fällen um Opportunitätskosten handelt oder nicht. <true-false> Das, was er beim Reisen in Australien hätte erleben können (Spaß, Erholung, …) <true-false> Die Karrierevorteile, die er durch ein frühes Studium hat <true-false> Das Geld, das er in Australien beim Arbeiten hätte verdienen können  ",Implizit,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,,,,,,,,,,,,,,,,0 (Kein Bezug),Enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Implizit,Stufe 2,leicht,"Das, was er beim Reisen in Australien hätte erleben können (Spaß, Erholung, …); Das Geld, das er in Australien beim Arbeiten hätte verdienen können",3
98-2-1,7,true-false,"Erkan steht nach seinem Abitur vor der Wahl: Soll er studieren oder erstmal ein Jahr in Australien reisen und arbeiten? Angenommen, er entscheidet sich für das Studium. Entscheide, ob es sich bei den folgenden Fällen um Opportunitätskosten handelt oder nicht. <true-false> Das, was er beim Reisen in Australien hätte erleben können (Spaß, Erholung, …) <true-false> Die Karrierevorteile, die er durch ein frühes Studium hat <true-false> Das Geld, das er in Australien beim Arbeiten hätte verdienen können  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stufe 2,leicht,"Die Karrierevorteile, die er durch ein frühes Studium hat",3
98-3-3,7,true-false,"Erkan steht nach seinem Abitur vor der Wahl: Soll er studieren oder erstmal ein Jahr in Australien reisen und arbeiten? Angenommen, er entscheidet sich für das Studium. Was würde in diesem Fall zu den Opportunitätskosten zählen? <true-false> Das, was er beim Reisen in Australien hätte erleben können (Spaß, Erholung, …) <true-false> Die Karrierevorteile, die er durch ein frühes Studium hat <true-false> Die Kosten für den Flug nach Australien <true-false> Das Geld, das er in Australien beim Arbeiten hätte verdienen können.   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stufe 2,Stammaufgabe,"Die Karrierevorteile, die er durch ein frühes Studium hat; Die Kosten für den Flug nach Australien",3
98-1-4,7,true-false," Erkan hat schon lange den Traum nach dem Abitur für ein Jahr nach Australien zu reisen. Dafür müsste er vorher eine Summe von 20.000 Euro erarbeiten, um abgesichert zu sein. Ein Unternehmen bietet ihm diese Chance, indem er pro Monat 1.800 Euro verdient. Er müsste vor der Reise also erstmal 11 Monate arbeiten, um sie sich leisten zu können. Seine Eltern finden, dass er erst studieren und somit keine Zeit verschwenden sollte. Sie sind der Meinung, er könne auch noch nach dem Studium eine solche Reise machen. Angenommen er entscheidet sich gegen die Reise nach Australien und für das Studium, was wären in diesem Fall die Opportunitätskosten? <true-false> Das, was er beim Reisen in Australien hätte erleben können (Spaß, Erholung, …) <true-false> Die Karrierevorteile, die er durch ein frühes Studium hat <true-false> Die Kosten für den Flug nach Australien <true-false> Das Geld, das er beim Arbeiten hätte verdienen können. <true-false> Die 11 Monate, die er vor der Reise arbeiten müsste. <true-false> Die Kosten für das Studium.   ",,,,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,0 (Kein Bezug),Enthalten,Enthalten,Nicht enthalten,Nicht enthalten,Implizit,Stufe 2,schwer,"Das, was er beim Reisen in Australien hätte erleben können (Spaß, Erholung, …); Das Geld, das er beim Arbeiten hätte verdienen können.",7
98-1-3,7,true-false," Erkan hat schon lange den Traum nach dem Abitur für ein Jahr nach Australien zu reisen. Dafür müsste er vorher eine Summe von 20.000 Euro erarbeiten, um abgesichert zu sein. Ein Unternehmen bietet ihm diese Chance, indem er pro Monat 1.800 Euro verdient. Er müsste vor der Reise also erstmal 11 Monate arbeiten, um sie sich leisten zu können. Seine Eltern finden, dass er erst studieren und somit keine Zeit verschwenden sollte. Sie sind der Meinung, er könne auch noch nach dem Studium eine solche Reise machen. Angenommen er entscheidet sich gegen die Reise nach Australien und für das Studium, was wären in diesem Fall die Opportunitätskosten? <true-false> Das, was er beim Reisen in Australien hätte erleben können (Spaß, Erholung, …) <true-false> Die Karrierevorteile, die er durch ein frühes Studium hat <true-false> Die Kosten für den Flug nach Australien <true-false> Das Geld, das er beim Arbeiten hätte verdienen können. <true-false> Die 11 Monate, die er vor der Reise arbeiten müsste. <true-false> Die Kosten für das Studium.   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stufe 2,schwer,"Die Karrierevorteile, die er durch ein frühes Studium hat; Die Kosten für den Flug nach Australien; Die 11 Monate, die er vor der Reise arbeiten müsste.; Die Kosten für das Studium.",7
81-1-1,7,multiple-choice,"Unter Opportunitätskosten versteht man… <option> den entgangenen Nutzen einer Handlung, für die man sich nicht entschieden hat. <option> die entgangenen Kosten einer Handlung, für die man sich nicht entschieden hat. <option> den Nutzen einer durchgeführten Handlung. <option> die Kosten einer durchgeführten Handlung. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stufe 1,Stammaufgabe,"den entgangenen Nutzen einer Handlung, für die man sich nicht entschieden hat.",1
81-1-2,7,multiple-choice,"Unter Opportunitätskosten versteht man… <option> den entgangenen Nutzen einer Handlung, für die man sich nicht entschieden hat. <option> die entgangenen Kosten einer Handlung, für die man sich nicht entschieden hat. <option> den Nutzen einer durchgeführten Handlung. <option> die Kosten einer durchgeführten Handlung. ",,,,,Nicht enthalten,Enthalten,Enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,,,,,,,,,,,0 (Kein Bezug),Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Implizit,Stufe 1,Stammaufgabe,"den entgangenen Nutzen einer Handlung, für die man sich nicht entschieden hat.",1
81-2-1,7,single-choice,"Unter Opportunitätskosten versteht man … <option> den entgangenen Nutzen einer Handlung, für die man sich nicht entschieden hat. <option> die entgangenen Kosten einer Handlung, für die man sich nicht entschieden hat. <option> den Nutzen einer durchgeführten Handlung. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stufe 1,leicht,"den entgangenen Nutzen einer Handlung, für die man sich nicht entschieden hat.",1
81-2-2,7,single-choice,"Unter Opportunitätskosten versteht man … <option> den entgangenen Nutzen einer Handlung, wenn man sich für eine Handlungsalternative entscheidet. <option> die entgangenen Kosten einer Handlung, wenn man sich für eine Handlungsalternative entscheidet. <option> den Nutzen einer durchgeführten Handlung. ",,,,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,,,,,,,,,,,,,,,,0 (Kein Bezug),Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Implizit,Stufe 1,leicht,"den entgangenen Nutzen einer Handlung, wenn man sich für eine Handlungsalternative entscheidet.",1
81-3-4,7,multiple-choice,"Unter Opportunitätskosten versteht man … <option> die durchgeführte Handlung. <option> die nicht durchgeführten Handlungen. <option> den entgangenen Nutzen einer Handlung, für die man sich nicht entschieden hat. <option> die entgangenen Kosten einer Handlung, für die man sich nicht entschieden hat. <option> den Nutzen einer durchgeführten Handlung. <option> die Kosten einer durchgeführten Handlung. ",,,,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,0 (Kein Bezug),Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Implizit,Stufe 1,schwer,"den entgangenen Nutzen einer Handlung, für die man sich nicht entschieden hat.",1
85-1-1,7,true-false,"Kosten oder Nutzen? Kreuze an! <true-false> Spaß, den ich in der Zeit habe, die ich mit meinen Freundinnen und Freunden verbringe. <true-false> Geld, das ich für das Ticket im Kino ausgeben muss. <true-false> Geld, das ich beim Arbeiten im Kiosk verdiene. <true-false> Zeit, die ich durch mein neues schnelles Fahrrad auf dem Schulweg einspare. <true-false> Farbe, die ich beim Streichen meines Zimmers verbrauche. <true-false> Zeit, die ich am Nachmittag aufbringen muss, um in Kiosk zu arbeiten. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stufe 1,Stammaufgabe,"Spaß, den ich in der Zeit habe, die ich mit meinen Freundinnen und Freunden verbringe.; Geld, das ich beim Arbeiten im Kiosk verdiene.; Zeit, die ich durch mein neues schnelles Fahrrad auf dem Schulweg einspare.",1
85-1-2,7,true-false,"Kosten oder Nutzen? Kreuze an! <true-false> Spaß, den ich in der Zeit habe, die ich mit meinen Freundinnen und Freunden verbringe. <true-false> Geld, das ich für das Ticket im Kino ausgeben muss. <true-false> Geld, das ich beim Arbeiten im Kiosk verdiene. <true-false> Zeit, die ich durch mein neues schnelles Fahrrad auf dem Schulweg einspare. <true-false> Farbe, die ich beim Streichen meines Zimmers verbrauche. <true-false> Zeit, die ich am Nachmittag aufbringen muss, um in Kiosk zu arbeiten. ",Implizit,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,0 (Kein Bezug),Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Implizit,Stufe 1,Stammaufgabe,"Spaß, den ich in der Zeit habe, die ich mit meinen Freundinnen und Freunden verbringe.; Geld, das ich beim Arbeiten im Kiosk verdiene.; Zeit, die ich durch mein neues schnelles Fahrrad auf dem Schulweg einspare.",1
85-2-1,7,true-false,"Ordne zu, ob es sich bei den folgenden Aussagen um Kosten handelt. <true-false> Zeit, die ich durch mein neues schnelles Fahrrad auf dem Schulweg einspare. <true-false> Farbe, die ich beim Streichen meines Zimmers verbrauche. <true-false> Zeit, die ich am Nachmittag aufbringen muss, um in Kiosk zu arbeiten. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stufe 1,leicht,"Zeit, die ich durch mein neues schnelles Fahrrad auf dem Schulweg einspare.",1
85-2-2,7,true-false,"Ordne zu, ob es sich bei den folgenden Aussagen um Kosten handelt. <true-false> Zeit, die ich durch mein neues schnelles Fahrrad auf dem Schulweg einspare. <true-false> Farbe, die ich beim Streichen meines Zimmers verbrauche. <true-false> Zeit, die ich am Nachmittag aufbringen muss, um in Kiosk zu arbeiten. ",Implizit,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,,,,,,,,,,,,,,,,0 (Kein Bezug),,,,,,Stufe 1,leicht,"Farbe, die ich beim Streichen meines Zimmers verbrauche.; Zeit, die ich am Nachmittag aufbringen muss, um in Kiosk zu arbeiten.",1
85-3-2,7,true-false,"Kosten oder Nutzen? Kreuze an! <true-false> Spaß, den ich in der Zeit habe, die ich mit meinen Freundinnen und Freunden verbringe. <true-false> Geld, das ich für das Ticket im Kino ausgeben muss. <true-false> Geld, das ich beim Arbeiten im Kiosk verdiene. <true-false> Zeit, die ich durch mein neues schnelles Fahrrad auf dem Schulweg einspare. <true-false> Farbe, die ich beim Streichen meines Zimmers verbrauche. <true-false> Zeit, die ich am Nachmittag aufbringen muss, um in Kiosk zu arbeiten. <true-false> Abgase des Autos, das ich nutze, um zu einem Freund zu fahren. <true-false> Eine gute Note in einer Klassenarbeit, die durch intensives Lernen zustande gekommen ist. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stufe 1,schwer,"Spaß, den ich in der Zeit habe, die ich mit meinen Freundinnen und Freunden verbringe.; Geld, das ich beim Arbeiten im Kiosk verdiene.; Zeit, die ich durch mein neues schnelles Fahrrad auf dem Schulweg einspare.; Eine gute Note in einer Klassenarbeit, die durch intensives Lernen zustande gekommen ist.",1
85-3-3,7,true-false,"Kosten oder Nutzen? Kreuze an! <true-false> Spaß, den ich in der Zeit habe, die ich mit meinen Freundinnen und Freunden verbringe. <true-false> Geld, das ich für das Ticket im Kino ausgeben muss. <true-false> Geld, das ich beim Arbeiten im Kiosk verdiene. <true-false> Zeit, die ich durch mein neues schnelles Fahrrad auf dem Schulweg einspare. <true-false> Farbe, die ich beim Streichen meines Zimmers verbrauche. <true-false> Zeit, die ich am Nachmittag aufbringen muss, um in Kiosk zu arbeiten. <true-false> Abgase des Autos, das ich nutze, um zu einem Freund zu fahren. <true-false> Eine gute Note in einer Klassenarbeit, die durch intensives Lernen zustande gekommen ist. ",Implizit,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,0 (Kein Bezug),Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Implizit,Stufe 1,schwer,"Spaß, den ich in der Zeit habe, die ich mit meinen Freundinnen und Freunden verbringe.; Geld, das ich beim Arbeiten im Kiosk verdiene.; Zeit, die ich durch mein neues schnelles Fahrrad auf dem Schulweg einspare.; Eine gute Note in einer Klassenarbeit, die durch intensives Lernen zustande gekommen ist.",1
86-2-1,7,single-choice,"Im Leben steht man ständig vor Entscheidungen. Man hat dann die Wahl zwischen verschiedenen Handlungsmöglichkeiten. Das, worauf man verzichten, wenn man sich für eine bestimmte Handlungsmöglichkeit entscheidet, nennt man in der Wirtschaft… <option> Opportunitätsnutzen <option> Opportunitätskosten <option> Minimal-/Maximalprinzip ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stufe 1,leicht,Opportunitätskosten,3
